60A00000 adc<c>
60B00000 adcs<c>
60800000 add<c>
60900000 adds<c>
60000000 and<c>
60100000 ands<c>
61A00040 asr<c>
61B00040 asrs<c>
6A000000 b<c>
67C0001F bfc<c>
67C00010 bfi<c>
61C00000 bic<c>
61D00000 bics<c>
E1200070 bkpt<c>
6B000000 bl<c>
9A000000 bls
612FFF30 blx<c>
612FFF10 bx<c>
612FFF20 bxj<c>
FE000000 cdp2
6E000000 cdp<c>
F57FF01F clrex
616F0F10 clz<c>
61700000 cmn<c>
61500000 cmp<c>
F1080000 cps
6320F0F0 dbg<c>
F57FF050 dmb
F57FF040 dsb
60200000 eor<c>
60300000 eors<c>
6D300B01 fldmdbx<c>
6C900B01 fldmiax<c>
6D200B01 fstmdbx<c>
6C800B01 fstmiax<c>
6320F005 hint<c>
F57FF060 isb
FC300000 ldc2
FC700000 ldc2l
6C300000 ldc<c>
6C700000 ldcl<c>
9C300000 ldcls
68900001 ldm<c>
68100001 ldmda<c>
69100001 ldmdb<c>
69900001 ldmib<c>
64100000 ldr<c>
64500000 ldrb<c>
64700000 ldrbt<c>
600000D0 ldrd<c>
61900F9F ldrex<c>
61D00F9F ldrexb<c>
61B00F9F ldrexd<c>
61F00F9F ldrexh<c>
21900F9F ldrexhs
601000B0 ldrh<c>
24100000 ldrhs
603000B0 ldrht<c>
601000D0 ldrsb<c>
603000D0 ldrsbt<c>
601000F0 ldrsh<c>
603000F0 ldrsht<c>
64300000 ldrt<c>
61A00010 lsl<c>
61B00010 lsls<c>
61A00020 lsr<c>
61B00020 lsrs<c>
FE000010 mcr2
6E000010 mcr<c>
FC400000 mcrr2
6C400000 mcrr<c>
60200090 mla<c>
60300090 mlas<c>
60600090 mls<c>
61A00000 mov<c>
61B00000 movs<c>
63400000 movt<c>
63000000 movw<c>
FE100010 mrc2
6E100010 mrc<c>
FC500000 mrrc2
6C500000 mrrc<c>
61010000 mrs<c>
6121F000 msr<c>
60000090 mul<c>
60100090 muls<c>
