"adc": 0xE0A00000
"adceq": 0x00A00000
"adcge": 0xA0A00000
"adcgt": 0xC0A00000
"adchi": 0x80A00000
"adchs": 0x20A00000
"adcle": 0xD0A00000
"adclo": 0x30A00000
"adcls": 0x90A00000
"adclt": 0xB0A00000
"adcmi": 0x40A00000
"adcne": 0x10A00000
"adcpl": 0x50A00000
"adcs": 0xE0B00000
"adcseq": 0x00B00000
"adcsge": 0xA0B00000
"adcsgt": 0xC0B00000
"adcshi": 0x80B00000
"adcshs": 0x20B00000
"adcsle": 0xD0B00000
"adcslo": 0x30B00000
"adcsls": 0x90B00000
"adcslt": 0xB0B00000
"adcsmi": 0x40B00000
"adcsne": 0x10B00000
"adcspl": 0x50B00000
"adcsvc": 0x70B00000
"adcsvs": 0x60B00000
"adcvc": 0x70A00000
"adcvs": 0x60A00000
"add": 0xE0800000
"addeq": 0x00800000
"addge": 0xA0800000
"addgt": 0xC0800000
"addhi": 0x80800000
"addhs": 0x20800000
"addle": 0xD0800000
"addlo": 0x30800000
"addls": 0x90800000
"addlt": 0xB0800000
"addmi": 0x40800000
"addne": 0x10800000
"addpl": 0x50800000
"adds": 0xE0900000
"addseq": 0x00900000
"addsge": 0xA0900000
"addsgt": 0xC0900000
"addshi": 0x80900000
"addshs": 0x20900000
"addsle": 0xD0900000
"addslo": 0x30900000
"addsls": 0x90900000
"addslt": 0xB0900000
"addsmi": 0x40900000
"addsne": 0x10900000
"addspl": 0x50900000
"addsvc": 0x70900000
"addsvs": 0x60900000
"addvc": 0x70800000
"addvs": 0x60800000
"and": 0xE0000000
"andeq": 0x00000000
"andge": 0xA0000000
"andgt": 0xC0000000
"andhi": 0x80000000
"andhs": 0x20000000
"andle": 0xD0000000
"andlo": 0x30000000
"andls": 0x90000000
"andlt": 0xB0000000
"andmi": 0x40000000
"andne": 0x10000000
"andpl": 0x50000000
"ands": 0xE0100000
"andseq": 0x00100000
"andsge": 0xA0100000
"andsgt": 0xC0100000
"andshi": 0x80100000
"andshs": 0x20100000
"andsle": 0xD0100000
"andslo": 0x30100000
"andsls": 0x90100000
"andslt": 0xB0100000
"andsmi": 0x40100000
"andsne": 0x10100000
"andspl": 0x50100000
"andsvc": 0x70100000
"andsvs": 0x60100000
"andvc": 0x70000000
"andvs": 0x60000000
"asr": 0xE1A00040
"asreq": 0x01A00040
"asrge": 0xA1A00040
"asrgt": 0xC1A00040
"asrhi": 0x81A00040
"asrhs": 0x21A00040
"asrle": 0xD1A00040
"asrlo": 0x31A00040
"asrls": 0x91A00040
"asrlt": 0xB1A00040
"asrmi": 0x41A00040
"asrne": 0x11A00040
"asrpl": 0x51A00040
"asrs": 0xE1B00040
"asrseq": 0x01B00040
"asrsge": 0xA1B00040
"asrsgt": 0xC1B00040
"asrshi": 0x81B00040
"asrshs": 0x21B00040
"asrsle": 0xD1B00040
"asrslo": 0x31B00040
"asrsls": 0x91B00040
"asrslt": 0xB1B00040
"asrsmi": 0x41B00040
"asrsne": 0x11B00040
"asrspl": 0x51B00040
"asrsvc": 0x71B00040
"asrsvs": 0x61B00040
"asrvc": 0x71A00040
"asrvs": 0x61A00040
"b": 0xEA000000
"beq": 0x0A000000
"bfc": 0xE7C0001F
"bfceq": 0x07C0001F
"bfcge": 0xA7C0001F
"bfcgt": 0xC7C0001F
"bfchi": 0x87C0001F
"bfchs": 0x27C0001F
"bfcle": 0xD7C0001F
"bfclo": 0x37C0001F
"bfcls": 0x97C0001F
"bfclt": 0xB7C0001F
"bfcmi": 0x47C0001F
"bfcne": 0x17C0001F
"bfcpl": 0x57C0001F
"bfcvc": 0x77C0001F
"bfcvs": 0x67C0001F
"bfi": 0xE7C00010
"bfieq": 0x07C00010
"bfige": 0xA7C00010
"bfigt": 0xC7C00010
"bfihi": 0x87C00010
"bfihs": 0x27C00010
"bfile": 0xD7C00010
"bfilo": 0x37C00010
"bfils": 0x97C00010
"bfilt": 0xB7C00010
"bfimi": 0x47C00010
"bfine": 0x17C00010
"bfipl": 0x57C00010
"bfivc": 0x77C00010
"bfivs": 0x67C00010
"bge": 0xAA000000
"bgt": 0xCA000000
"bhi": 0x8A000000
"bhs": 0x2A000000
"bic": 0xE1C00000
"biceq": 0x01C00000
"bicge": 0xA1C00000
"bicgt": 0xC1C00000
"bichi": 0x81C00000
"bichs": 0x21C00000
"bicle": 0xD1C00000
"biclo": 0x31C00000
"bicls": 0x91C00000
"biclt": 0xB1C00000
"bicmi": 0x41C00000
"bicne": 0x11C00000
"bicpl": 0x51C00000
"bics": 0xE1D00000
"bicseq": 0x01D00000
"bicsge": 0xA1D00000
"bicsgt": 0xC1D00000
"bicshi": 0x81D00000
"bicshs": 0x21D00000
"bicsle": 0xD1D00000
"bicslo": 0x31D00000
"bicsls": 0x91D00000
"bicslt": 0xB1D00000
"bicsmi": 0x41D00000
"bicsne": 0x11D00000
"bicspl": 0x51D00000
"bicsvc": 0x71D00000
"bicsvs": 0x61D00000
"bicvc": 0x71C00000
"bicvs": 0x61C00000
"bkpt": 0xE1200070
"bl": 0xEB000000
"ble": 0xDA000000
"bleq": 0x0B000000
"blge": 0xAB000000
"blgt": 0xCB000000
"blhi": 0x8B000000
"blhs": 0x2B000000
"blle": 0xDB000000
"bllo": 0x3B000000
"blls": 0x9B000000
"bllt": 0xBB000000
"blmi": 0x4B000000
"blne": 0x1B000000
"blo": 0x3A000000
"blpl": 0x5B000000
"bls": 0x9A000000
"blt": 0xBA000000
"blvc": 0x7B000000
"blvs": 0x6B000000
"blx": 0xE12FFF30
"blxeq": 0x012FFF30
"blxge": 0xA12FFF30
"blxgt": 0xC12FFF30
"blxhi": 0x812FFF30
"blxhs": 0x212FFF30
"blxle": 0xD12FFF30
"blxlo": 0x312FFF30
"blxls": 0x912FFF30
"blxlt": 0xB12FFF30
"blxmi": 0x412FFF30
"blxne": 0x112FFF30
"blxpl": 0x512FFF30
"blxvc": 0x712FFF30
"blxvs": 0x612FFF30
"bmi": 0x4A000000
"bne": 0x1A000000
"bpl": 0x5A000000
"bvc": 0x7A000000
"bvs": 0x6A000000
"bx": 0xE12FFF10
"bxeq": 0x012FFF10
"bxge": 0xA12FFF10
"bxgt": 0xC12FFF10
"bxhi": 0x812FFF10
"bxhs": 0x212FFF10
"bxj": 0xE12FFF20
"bxjeq": 0x012FFF20
"bxjge": 0xA12FFF20
"bxjgt": 0xC12FFF20
"bxjhi": 0x812FFF20
"bxjhs": 0x212FFF20
