"abs.d FREG , FREG": 0x46200005
"abs.s FREG , FREG": 0x46000005
"absq_s.ph GPREG , GPREG": 0x7C000252
"absq_s.qb GPREG , GPREG": 0x7C000052
"absq_s.w GPREG , GPREG": 0x7C000452
"add GPREG , GPREG , GPREG": 0x00000020
"add.d FREG , FREG , FREG": 0x46200000
"add.s FREG , FREG , FREG": 0x46000000
"add_a.b WREG , WREG , WREG": 0x78000010
"add_a.d WREG , WREG , WREG": 0x78600010
"add_a.h WREG , WREG , WREG": 0x78200010
"add_a.w WREG , WREG , WREG": 0x78400010
"addiu GPREG , GPREG , NUM": 0x24000000
"addiupc GPREG , NUM": 0xEC000000
"addq.ph GPREG , GPREG , GPREG": 0x7C000290
"addq_s.ph GPREG , GPREG , GPREG": 0x7C000390
"addq_s.w GPREG , GPREG , GPREG": 0x7C000590
"addqh.ph GPREG , GPREG , GPREG": 0x7C000218
"addqh.w GPREG , GPREG , GPREG": 0x7C000418
"addqh_r.ph GPREG , GPREG , GPREG": 0x7C000298
"addqh_r.w GPREG , GPREG , GPREG": 0x7C000498
"adds_a.b WREG , WREG , WREG": 0x78800010
"adds_a.d WREG , WREG , WREG": 0x78E00010
"adds_a.h WREG , WREG , WREG": 0x78A00010
"adds_a.w WREG , WREG , WREG": 0x78C00010
"adds_s.b WREG , WREG , WREG": 0x79000010
"adds_s.d WREG , WREG , WREG": 0x79600010
"adds_s.h WREG , WREG , WREG": 0x79200010
"adds_s.w WREG , WREG , WREG": 0x79400010
"adds_u.b WREG , WREG , WREG": 0x79800010
"adds_u.d WREG , WREG , WREG": 0x79E00010
"adds_u.h WREG , WREG , WREG": 0x79A00010
"adds_u.w WREG , WREG , WREG": 0x79C00010
"addsc GPREG , GPREG , GPREG": 0x7C000410
"addu GPREG , GPREG , GPREG": 0x00010021
"addu.ph GPREG , GPREG , GPREG": 0x7C000210
"addu.qb GPREG , GPREG , GPREG": 0x7C000010
"addu_s.ph GPREG , GPREG , GPREG": 0x7C000310
"addu_s.qb GPREG , GPREG , GPREG": 0x7C000110
"adduh.qb GPREG , GPREG , GPREG": 0x7C000018
"adduh_r.qb GPREG , GPREG , GPREG": 0x7C000098
"addv.b WREG , WREG , WREG": 0x7800000E
"addv.d WREG , WREG , WREG": 0x7860000E
"addv.h WREG , WREG , WREG": 0x7820000E
"addv.w WREG , WREG , WREG": 0x7840000E
"addvi.b WREG , WREG , NUM": 0x78000006
"addvi.d WREG , WREG , NUM": 0x78600006
"addvi.h WREG , WREG , NUM": 0x78200006
"addvi.w WREG , WREG , NUM": 0x78400006
"addwc GPREG , GPREG , GPREG": 0x7C000450
"align GPREG , GPREG , GPREG , NUM": 0x7C000220
"aluipc GPREG , NUM": 0xEC1F0000
"and GPREG , GPREG , GPREG": 0x00000024
"and.v WREG , WREG , WREG": 0x7800001E
"andi GPREG , GPREG , NUM": 0x30000000
"andi.b WREG , WREG , NUM": 0x78000000
"append GPREG , GPREG , NUM": 0x7C000031
"asub_s.b WREG , WREG , WREG": 0x7A000011
"asub_s.d WREG , WREG , WREG": 0x7A600011
"asub_s.h WREG , WREG , WREG": 0x7A200011
"asub_s.w WREG , WREG , WREG": 0x7A400011
"asub_u.b WREG , WREG , WREG": 0x7A800011
"asub_u.d WREG , WREG , WREG": 0x7AE00011
"asub_u.h WREG , WREG , WREG": 0x7AA00011
"asub_u.w WREG , WREG , WREG": 0x7AC00011
"aui GPREG , GPREG , NUM": 0x3C000000
"auipc GPREG , NUM": 0xEC1E0000
"ave_s.b WREG , WREG , WREG": 0x7A000010
"ave_s.d WREG , WREG , WREG": 0x7A600010
"ave_s.h WREG , WREG , WREG": 0x7A200010
"ave_s.w WREG , WREG , WREG": 0x7A400010
"ave_u.b WREG , WREG , WREG": 0x7A800010
"ave_u.d WREG , WREG , WREG": 0x7AE00010
"ave_u.h WREG , WREG , WREG": 0x7AA00010
"ave_u.w WREG , WREG , WREG": 0x7AC00010
"aver_s.b WREG , WREG , WREG": 0x7B000010
"aver_s.d WREG , WREG , WREG": 0x7B600010
"aver_s.h WREG , WREG , WREG": 0x7B200010
"aver_s.w WREG , WREG , WREG": 0x7B400010
"aver_u.b WREG , WREG , WREG": 0x7B800010
"aver_u.d WREG , WREG , WREG": 0x7BE00010
"aver_u.h WREG , WREG , WREG": 0x7BA00010
"aver_u.w WREG , WREG , WREG": 0x7BC00010
"b NUM": 0x10000000
"bal NUM": 0x04110000
"balc NUM": 0xE8000000
"balign GPREG , GPREG , NUM": 0x7C000431
"bc NUM": 0xC8000000
"bc1eqz FREG , OFFS": 0x45200000
"bc1nez FREG , OFFS": 0x45A00000
"bc2eqz CASH , OFFS": 0x49200000
"bc2nez CASH , OFFS": 0x49A00000
"bclr.b WREG , WREG , WREG": 0x7980000D
"bclr.d WREG , WREG , WREG": 0x79E0000D
"bclr.h WREG , WREG , WREG": 0x79A0000D
"bclr.w WREG , WREG , WREG": 0x79C0000D
"bclri.b WREG , WREG , NUM": 0x79F00009
"bclri.d WREG , WREG , NUM": 0x79800009
"bclri.h WREG , WREG , NUM": 0x79E00009
"bclri.w WREG , WREG , NUM": 0x79C00009
"beq GPREG , GPREG , OFFS": 0x10010000
"beqc GPREG , GPREG , OFFS": 0x20220000
"beql GPREG , GPREG , OFFS": 0x50010000
"beqz GPREG , NUM": 0x10200000
"beqzalc GPREG , OFFS": 0x20010000
"beqzc GPREG , OFFS": 0xD8200000
"beqzl GPREG , OFFS": 0x50000000
"bgec GPREG , GPREG , OFFS": 0x58220000
"bgeuc GPREG , GPREG , OFFS": 0x18220000
"bgez GPREG , OFFS": 0x04010000
"bgezalc GPREG , OFFS": 0x18210000
"bgezall GPREG , OFFS": 0x04130000
"bgezc GPREG , OFFS": 0x58210000
"bgezl GPREG , OFFS": 0x04030000
"bgtz GPREG , OFFS": 0x1C000000
"bgtzalc GPREG , OFFS": 0x1C010000
"bgtzc GPREG , OFFS": 0x5C010000
"bgtzl GPREG , OFFS": 0x5C000000
"binsl.b WREG , WREG , WREG": 0x7B00000D
"binsl.d WREG , WREG , WREG": 0x7B60000D
"binsl.h WREG , WREG , WREG": 0x7B20000D
"binsl.w WREG , WREG , WREG": 0x7B40000D
"binsli.b WREG , WREG , NUM": 0x7B700009
"binsli.d WREG , WREG , NUM": 0x7B000009
"binsli.h WREG , WREG , NUM": 0x7B600009
"binsli.w WREG , WREG , NUM": 0x7B400009
"binsr.b WREG , WREG , WREG": 0x7B80000D
"binsr.d WREG , WREG , WREG": 0x7BE0000D
"binsr.h WREG , WREG , WREG": 0x7BA0000D
"binsr.w WREG , WREG , WREG": 0x7BC0000D
"binsri.b WREG , WREG , NUM": 0x7BF00009
"binsri.d WREG , WREG , NUM": 0x7B800009
"binsri.h WREG , WREG , NUM": 0x7BE00009
"binsri.w WREG , WREG , NUM": 0x7BC00009
"bitrev GPREG , GPREG": 0x7C0006D2
"bitswap GPREG , GPREG": 0x7C000020
"blez GPREG , OFFS": 0x18000000
"blezalc GPREG , OFFS": 0x18010000
"blezc GPREG , OFFS": 0x58010000
"blezl GPREG , OFFS": 0x58000000
"bltc GPREG , GPREG , OFFS": 0x5C220000
"bltuc GPREG , GPREG , OFFS": 0x1C220000
"bltz GPREG , OFFS": 0x04000000
"bltzalc GPREG , OFFS": 0x1C210000
"bltzall GPREG , OFFS": 0x04120000
"bltzc GPREG , OFFS": 0x5C210000
"bltzl GPREG , OFFS": 0x04020000
"bmnz.v WREG , WREG , WREG": 0x7880001E
"bmnzi.b WREG , WREG , NUM": 0x78000001
"bmz.v WREG , WREG , WREG": 0x78A0001E
"bmzi.b WREG , WREG , NUM": 0x79000001
"bne GPREG , GPREG , OFFS": 0x14010000
"bnec GPREG , GPREG , OFFS": 0x60220000
"bneg.b WREG , WREG , WREG": 0x7A80000D
"bneg.d WREG , WREG , WREG": 0x7AE0000D
"bneg.h WREG , WREG , WREG": 0x7AA0000D
