'add': 0x7C000214
'add.': 0x7C000215
'addc': 0x7C000014
'addc.': 0x7C000015
'adde': 0x7C000114
'adde.': 0x7C000115
'addi': 0x38010000
'addic': 0x30000000
'addic.': 0x34000000
'addis': 0x3C010000
'addme': 0x7C0001D4
'addme.': 0x7C0001D5
'addze': 0x7C000194
'addze.': 0x7C000195
'and': 0x7C000038
'and.': 0x7C000039
'andc': 0x7C000078
'andc.': 0x7C000079
'andi.': 0x70000000
'andis.': 0x74000000
'b': 0x48000000
'ba': 0x48000002
'bctr': 0x4E800420
'bctrl': 0x4E800421
'bdnz': 0x42000000
'bdnz+': 0x43200000
'bdnz-': 0x43000000
'bdnza': 0x42000002
'bdnza+': 0x43200002
'bdnza-': 0x43000002
'bdnzctr': 0x4E000420
'bdnzctr+': 0x4F200420
'bdnzctr-': 0x4F000420
'bdnzctrl': 0x4E000421
'bdnzctrl+': 0x4F200421
'bdnzctrl-': 0x4F000421
'bdnzf': 0x40000000
'bdnzfa': 0x40000002
'bdnzfctr': 0x4C000420
'bdnzfctrl': 0x4C000421
'bdnzfl': 0x40000001
'bdnzfla': 0x40000003
'bdnzflr': 0x4C000020
'bdnzflrl': 0x4C000021
'bdnzl': 0x42000001
'bdnzl+': 0x43200001
'bdnzl-': 0x43000001
'bdnzla': 0x42000003
'bdnzla+': 0x43200003
'bdnzla-': 0x43000003
'bdnzlr': 0x4E000020
'bdnzlr+': 0x4F200020
'bdnzlr-': 0x4F000020
'bdnzlrl': 0x4E000021
'bdnzlrl+': 0x4F200021
'bdnzlrl-': 0x4F000021
'bdnzt': 0x41000000
'bdnzta': 0x41000002
'bdnztctr': 0x4D000420
'bdnztctrl': 0x4D000421
'bdnztl': 0x41000001
'bdnztla': 0x41000003
'bdnztlr': 0x4D000020
'bdnztlrl': 0x4D000021
'bdz': 0x42400000
'bdz+': 0x43600000
'bdz-': 0x43400000
'bdza': 0x42400002
'bdza+': 0x43600002
'bdza-': 0x43400002
'bdzctr': 0x4E400420
'bdzctr+': 0x4F600420
'bdzctr-': 0x4F400420
'bdzctrl': 0x4E400421
'bdzctrl+': 0x4F600421
'bdzctrl-': 0x4F400421
'bdzf': 0x40400000
