'add': 0x7C000214
'addc': 0x7C000014
'adde': 0x7C000114
'addi': 0x38010000
'addic': 0x30000000
'addis': 0x3C010000
'addme': 0x7C0001D4
'addze': 0x7C000194
'and': 0x7C000038
'andc': 0x7C000078
'andi': 0x70000000
'andis': 0x74000000
'b': 0x48000000
'ba': 0x48000002
'bctr': 0x4E800420
'bctrl': 0x4E800421
'bdnz': 0x42000000
'bdnza': 0x42000002
'bdnzctr': 0x4E000420
'bdnzctrl': 0x4E000421
'bdnzf': 0x40000000
'bdnzfa': 0x40000002
'bdnzfctr': 0x4C000420
'bdnzfctrl': 0x4C000421
'bdnzfl': 0x40000001
'bdnzfla': 0x40000003
'bdnzflr': 0x4C000020
'bdnzflrl': 0x4C000021
'bdnzl': 0x42000001
'bdnzla': 0x42000003
'bdnzlr': 0x4E000020
'bdnzlrl': 0x4E000021
'bdnzt': 0x41000000
'bdnzta': 0x41000002
'bdnztctr': 0x4D000420
'bdnztctrl': 0x4D000421
'bdnztl': 0x41000001
'bdnztla': 0x41000003
'bdnztlr': 0x4D000020
'bdnztlrl': 0x4D000021
'bdz': 0x42400000
'bdza': 0x42400002
'bdzctr': 0x4E400420
'bdzctrl': 0x4E400421
'bdzf': 0x40400000
'bdzfa': 0x40400002
'bdzfctr': 0x4C400420
'bdzfctrl': 0x4C400421
'bdzfl': 0x40400001
'bdzfla': 0x40400003
'bdzflr': 0x4C400020
'bdzflrl': 0x4C400021
'bdzl': 0x42400001
'bdzla': 0x42400003
'bdzlr': 0x4E400020
'bdzlrl': 0x4E400021
'bdzt': 0x41400000
'bdzta': 0x41400002
'bdztctr': 0x4D400420
'bdztctrl': 0x4D400421
'bdztl': 0x41400001
'bdztla': 0x41400003
'bdztlr': 0x4D400020
'bdztlrl': 0x4D400021
'beq': 0x41820000
'beqa': 0x41820002
'beqctr': 0x4D820420
'beqctrl': 0x4D820421
'beql': 0x41820001
'beqla': 0x41820003
'beqlr': 0x4D820020
'beqlrl': 0x4D820021
'bge': 0x40800000
'bgea': 0x40800002
'bgectr': 0x4C800420
'bgectrl': 0x4C800421
'bgel': 0x40800001
'bgela': 0x40800003
'bgelr': 0x4C800020
'bgelrl': 0x4C800021
'bgt': 0x41810000
'bgta': 0x41810002
'bgtctr': 0x4D810420
'bgtctrl': 0x4D810421
'bgtl': 0x41810001
'bgtla': 0x41810003
'bgtlr': 0x4D810020
'bgtlrl': 0x4D810021
'bl': 0x48000001
'bla': 0x48000003
'ble': 0x40810000
'blea': 0x40810002
'blectr': 0x4C810420
'blectrl': 0x4C810421
'blel': 0x40810001
'blela': 0x40810003
'blelr': 0x4C810020
'blelrl': 0x4C810021
'blr': 0x4E800020
'blrl': 0x4E800021
'blt': 0x41800000
'blta': 0x41800002
'bltctr': 0x4D800420
